,schedule_season,team_home,score_home,score_away,team_away
12490,2019,Arizona Cardinals,,,Atlanta Falcons
12491,2019,Baltimore Ravens,,,Cincinnati Bengals
12492,2019,Cleveland Browns,,,Seattle Seahawks
12493,2019,Denver Broncos,,,Tennessee Titans
12494,2019,Jacksonville Jaguars,,,New Orleans Saints
12495,2019,Kansas City Chiefs,,,Houston Texans
12496,2019,Los Angeles Chargers,,,Pittsburgh Steelers
12497,2019,Los Angeles Rams,,,San Francisco 49ers
12498,2019,Miami Dolphins,,,Washington Redskins
12499,2019,Minnesota Vikings,,,Philadelphia Eagles
12500,2019,New York Jets,,,Dallas Cowboys
12501,2019,Tampa Bay Buccaneers,,,Carolina Panthers
12502,2019,Green Bay Packers,,,Detroit Lions
12503,2019,Denver Broncos,,,Kansas City Chiefs
12504,2019,Atlanta Falcons,,,Los Angeles Rams
12505,2019,Buffalo Bills,,,Miami Dolphins
12506,2019,Chicago Bears,,,New Orleans Saints
12507,2019,Cincinnati Bengals,,,Jacksonville Jaguars
12508,2019,Dallas Cowboys,,,Philadelphia Eagles
12509,2019,Detroit Lions,,,Minnesota Vikings
12510,2019,Green Bay Packers,,,Oakland Raiders
12511,2019,Indianapolis Colts,,,Houston Texans
12512,2019,New York Giants,,,Arizona Cardinals
12513,2019,Seattle Seahawks,,,Baltimore Ravens
12514,2019,Tennessee Titans,,,Los Angeles Chargers
12515,2019,Washington Redskins,,,San Francisco 49ers
12516,2019,New York Jets,,,New England Patriots
12517,2019,Minnesota Vikings,,,Washington Redskins
12518,2019,Atlanta Falcons,,,Seattle Seahawks
12519,2019,Buffalo Bills,,,Philadelphia Eagles
12520,2019,Chicago Bears,,,Los Angeles Chargers
12521,2019,Detroit Lions,,,New York Giants
12522,2019,Houston Texans,,,Oakland Raiders
12523,2019,Indianapolis Colts,,,Denver Broncos
12524,2019,Jacksonville Jaguars,,,New York Jets
12525,2019,Kansas City Chiefs,,,Green Bay Packers
12526,2019,Los Angeles Rams,,,Cincinnati Bengals
12527,2019,New England Patriots,,,Cleveland Browns
12528,2019,New Orleans Saints,,,Arizona Cardinals
12529,2019,San Francisco 49ers,,,Carolina Panthers
12530,2019,Tennessee Titans,,,Tampa Bay Buccaneers
12531,2019,Pittsburgh Steelers,,,Miami Dolphins
12532,2019,Arizona Cardinals,,,San Francisco 49ers
12533,2019,Baltimore Ravens,,,New England Patriots
12534,2019,Buffalo Bills,,,Washington Redskins
12535,2019,Carolina Panthers,,,Tennessee Titans
12536,2019,Denver Broncos,,,Cleveland Browns
12537,2019,Jacksonville Jaguars,,,Houston Texans
12538,2019,Kansas City Chiefs,,,Minnesota Vikings
12539,2019,Los Angeles Chargers,,,Green Bay Packers
12540,2019,Miami Dolphins,,,New York Jets
12541,2019,Oakland Raiders,,,Detroit Lions
12542,2019,Philadelphia Eagles,,,Chicago Bears
12543,2019,Pittsburgh Steelers,,,Indianapolis Colts
12544,2019,Seattle Seahawks,,,Tampa Bay Buccaneers
12545,2019,New York Giants,,,Dallas Cowboys
12546,2019,Oakland Raiders,,,Los Angeles Chargers
12547,2019,Chicago Bears,,,Detroit Lions
12548,2019,Cincinnati Bengals,,,Baltimore Ravens
12549,2019,Cleveland Browns,,,Buffalo Bills
12550,2019,Dallas Cowboys,,,Minnesota Vikings
12551,2019,Green Bay Packers,,,Carolina Panthers
12552,2019,Indianapolis Colts,,,Miami Dolphins
12553,2019,New Orleans Saints,,,Atlanta Falcons
12554,2019,New York Jets,,,New York Giants
12555,2019,Pittsburgh Steelers,,,Los Angeles Rams
12556,2019,Tampa Bay Buccaneers,,,Arizona Cardinals
12557,2019,Tennessee Titans,,,Kansas City Chiefs
12558,2019,San Francisco 49ers,,,Seattle Seahawks
12559,2019,Cleveland Browns,,,Pittsburgh Steelers
12560,2019,Baltimore Ravens,,,Houston Texans
12561,2019,Carolina Panthers,,,Atlanta Falcons
12562,2019,Detroit Lions,,,Dallas Cowboys
12563,2019,Indianapolis Colts,,,Jacksonville Jaguars
12564,2019,Los Angeles Rams,,,Chicago Bears
12565,2019,Miami Dolphins,,,Buffalo Bills
12566,2019,Minnesota Vikings,,,Denver Broncos
12567,2019,Oakland Raiders,,,Cincinnati Bengals
12568,2019,Philadelphia Eagles,,,New England Patriots
12569,2019,San Francisco 49ers,,,Arizona Cardinals
12570,2019,Tampa Bay Buccaneers,,,New Orleans Saints
12571,2019,Washington Redskins,,,New York Jets
12572,2019,Los Angeles Chargers,,,Kansas City Chiefs
12573,2019,Houston Texans,,,Indianapolis Colts
12574,2019,Atlanta Falcons,,,Tampa Bay Buccaneers
12575,2019,Buffalo Bills,,,Denver Broncos
12576,2019,Chicago Bears,,,New York Giants
12577,2019,Cincinnati Bengals,,,Pittsburgh Steelers
12578,2019,Cleveland Browns,,,Miami Dolphins
12579,2019,New England Patriots,,,Dallas Cowboys
12580,2019,New Orleans Saints,,,Carolina Panthers
12581,2019,New York Jets,,,Oakland Raiders
12582,2019,Philadelphia Eagles,,,Seattle Seahawks
12583,2019,San Francisco 49ers,,,Green Bay Packers
12584,2019,Tennessee Titans,,,Jacksonville Jaguars
12585,2019,Washington Redskins,,,Detroit Lions
12586,2019,Los Angeles Rams,,,Baltimore Ravens
12587,2019,Atlanta Falcons,,,New Orleans Saints
12588,2019,Dallas Cowboys,,,Buffalo Bills
12589,2019,Detroit Lions,,,Chicago Bears
12590,2019,Arizona Cardinals,,,Los Angeles Rams
12591,2019,Baltimore Ravens,,,San Francisco 49ers
12592,2019,Carolina Panthers,,,Washington Redskins
12593,2019,Cincinnati Bengals,,,New York Jets
12594,2019,Denver Broncos,,,Los Angeles Chargers
12595,2019,Houston Texans,,,New England Patriots
12596,2019,Indianapolis Colts,,,Tennessee Titans
12597,2019,Jacksonville Jaguars,,,Tampa Bay Buccaneers
12598,2019,Kansas City Chiefs,,,Oakland Raiders
12599,2019,Miami Dolphins,,,Philadelphia Eagles
12600,2019,New York Giants,,,Green Bay Packers
12601,2019,Pittsburgh Steelers,,,Cleveland Browns
12602,2019,Seattle Seahawks,,,Minnesota Vikings
12603,2019,Chicago Bears,,,Dallas Cowboys
12604,2019,Arizona Cardinals,,,Pittsburgh Steelers
12605,2019,Atlanta Falcons,,,Carolina Panthers
12606,2019,Buffalo Bills,,,Baltimore Ravens
12607,2019,Cleveland Browns,,,Cincinnati Bengals
12608,2019,Green Bay Packers,,,Washington Redskins
12609,2019,Houston Texans,,,Denver Broncos
12610,2019,Jacksonville Jaguars,,,Los Angeles Chargers
12611,2019,Los Angeles Rams,,,Seattle Seahawks
12612,2019,Minnesota Vikings,,,Detroit Lions
12613,2019,New England Patriots,,,Kansas City Chiefs
12614,2019,New Orleans Saints,,,San Francisco 49ers
12615,2019,New York Jets,,,Miami Dolphins
12616,2019,Oakland Raiders,,,Tennessee Titans
12617,2019,Tampa Bay Buccaneers,,,Indianapolis Colts
12618,2019,Philadelphia Eagles,,,New York Giants
12619,2019,Baltimore Ravens,,,New York Jets
12620,2019,Arizona Cardinals,,,Cleveland Browns
12621,2019,Carolina Panthers,,,Seattle Seahawks
12622,2019,Cincinnati Bengals,,,New England Patriots
12623,2019,Dallas Cowboys,,,Los Angeles Rams
12624,2019,Detroit Lions,,,Tampa Bay Buccaneers
12625,2019,Green Bay Packers,,,Chicago Bears
12626,2019,Kansas City Chiefs,,,Denver Broncos
12627,2019,Los Angeles Chargers,,,Minnesota Vikings
12628,2019,New York Giants,,,Miami Dolphins
12629,2019,Oakland Raiders,,,Jacksonville Jaguars
12630,2019,Pittsburgh Steelers,,,Buffalo Bills
12631,2019,San Francisco 49ers,,,Atlanta Falcons
12632,2019,Tennessee Titans,,,Houston Texans
12633,2019,Washington Redskins,,,Philadelphia Eagles
12634,2019,New Orleans Saints,,,Indianapolis Colts
12635,2019,Atlanta Falcons,,,Jacksonville Jaguars
12636,2019,Chicago Bears,,,Kansas City Chiefs
12637,2019,Cleveland Browns,,,Baltimore Ravens
12638,2019,Denver Broncos,,,Detroit Lions
12639,2019,Indianapolis Colts,,,Carolina Panthers
12640,2019,Los Angeles Chargers,,,Oakland Raiders
12641,2019,Miami Dolphins,,,Cincinnati Bengals
12642,2019,New England Patriots,,,Buffalo Bills
12643,2019,New York Jets,,,Pittsburgh Steelers
12644,2019,Philadelphia Eagles,,,Dallas Cowboys
12645,2019,San Francisco 49ers,,,Los Angeles Rams
12646,2019,Seattle Seahawks,,,Arizona Cardinals
12647,2019,Tampa Bay Buccaneers,,,Houston Texans
12648,2019,Tennessee Titans,,,New Orleans Saints
12649,2019,Washington Redskins,,,New York Giants
12650,2019,Minnesota Vikings,,,Green Bay Packers
12651,2019,Baltimore Ravens,,,Pittsburgh Steelers
12652,2019,Buffalo Bills,,,New York Jets
12653,2019,Carolina Panthers,,,New Orleans Saints
12654,2019,Cincinnati Bengals,,,Cleveland Browns
12655,2019,Dallas Cowboys,,,Washington Redskins
12656,2019,Denver Broncos,,,Oakland Raiders
12657,2019,Detroit Lions,,,Green Bay Packers
12658,2019,Houston Texans,,,Tennessee Titans
12659,2019,Jacksonville Jaguars,,,Indianapolis Colts
12660,2019,Kansas City Chiefs,,,Los Angeles Chargers
12661,2019,Los Angeles Rams,,,Arizona Cardinals
12662,2019,Minnesota Vikings,,,Chicago Bears
12663,2019,New England Patriots,,,Miami Dolphins
12664,2019,New York Giants,,,Philadelphia Eagles
12665,2019,Seattle Seahawks,,,San Francisco 49ers
12666,2019,Tampa Bay Buccaneers,,,Atlanta Falcons
