,schedule_season,team_home,score_home,score_away,team_away
12411,2019,Chicago Bears,,,Green Bay Packers
12412,2019,Arizona Cardinals,,,Detroit Lions
12413,2019,Carolina Panthers,,,Los Angeles Rams
12414,2019,Cleveland Browns,,,Tennessee Titans
12415,2019,Dallas Cowboys,,,New York Giants
12416,2019,Jacksonville Jaguars,,,Kansas City Chiefs
12417,2019,Los Angeles Chargers,,,Indianapolis Colts
12418,2019,Miami Dolphins,,,Baltimore Ravens
12419,2019,Minnesota Vikings,,,Atlanta Falcons
12420,2019,New England Patriots,,,Pittsburgh Steelers
12421,2019,New York Jets,,,Buffalo Bills
12422,2019,Philadelphia Eagles,,,Washington Redskins
12423,2019,Seattle Seahawks,,,Cincinnati Bengals
12424,2019,Tampa Bay Buccaneers,,,San Francisco 49ers
12425,2019,New Orleans Saints,,,Houston Texans
12426,2019,Oakland Raiders,,,Denver Broncos
12427,2019,Carolina Panthers,,,Tampa Bay Buccaneers
12428,2019,Atlanta Falcons,,,Philadelphia Eagles
12429,2019,Baltimore Ravens,,,Arizona Cardinals
12430,2019,Cincinnati Bengals,,,San Francisco 49ers
12431,2019,Denver Broncos,,,Chicago Bears
12432,2019,Detroit Lions,,,Los Angeles Chargers
12433,2019,Green Bay Packers,,,Minnesota Vikings
12434,2019,Houston Texans,,,Jacksonville Jaguars
12435,2019,Los Angeles Rams,,,New Orleans Saints
12436,2019,Miami Dolphins,,,New England Patriots
12437,2019,New York Giants,,,Buffalo Bills
12438,2019,Oakland Raiders,,,Kansas City Chiefs
12439,2019,Pittsburgh Steelers,,,Seattle Seahawks
12440,2019,Tennessee Titans,,,Indianapolis Colts
12441,2019,Washington Redskins,,,Dallas Cowboys
12442,2019,New York Jets,,,Cleveland Browns
12443,2019,Jacksonville Jaguars,,,Tennessee Titans
12444,2019,Arizona Cardinals,,,Carolina Panthers
12445,2019,Buffalo Bills,,,Cincinnati Bengals
12446,2019,Cleveland Browns,,,Los Angeles Rams
12447,2019,Dallas Cowboys,,,Miami Dolphins
12448,2019,Green Bay Packers,,,Denver Broncos
12449,2019,Indianapolis Colts,,,Atlanta Falcons
12450,2019,Kansas City Chiefs,,,Baltimore Ravens
12451,2019,Los Angeles Chargers,,,Houston Texans
12452,2019,Minnesota Vikings,,,Oakland Raiders
12453,2019,New England Patriots,,,New York Jets
12454,2019,Philadelphia Eagles,,,Detroit Lions
12455,2019,San Francisco 49ers,,,Pittsburgh Steelers
12456,2019,Seattle Seahawks,,,New Orleans Saints
12457,2019,Tampa Bay Buccaneers,,,New York Giants
12458,2019,Washington Redskins,,,Chicago Bears
12459,2019,Green Bay Packers,,,Philadelphia Eagles
12460,2019,Arizona Cardinals,,,Seattle Seahawks
12461,2019,Atlanta Falcons,,,Tennessee Titans
12462,2019,Baltimore Ravens,,,Cleveland Browns
12463,2019,Buffalo Bills,,,New England Patriots
12464,2019,Chicago Bears,,,Minnesota Vikings
12465,2019,Denver Broncos,,,Jacksonville Jaguars
12466,2019,Detroit Lions,,,Kansas City Chiefs
12467,2019,Houston Texans,,,Carolina Panthers
12468,2019,Indianapolis Colts,,,Oakland Raiders
12469,2019,Los Angeles Rams,,,Tampa Bay Buccaneers
12470,2019,Miami Dolphins,,,Los Angeles Chargers
12471,2019,New Orleans Saints,,,Dallas Cowboys
12472,2019,New York Giants,,,Washington Redskins
12473,2019,Pittsburgh Steelers,,,Cincinnati Bengals
12474,2019,Seattle Seahawks,,,Los Angeles Rams
12475,2019,Carolina Panthers,,,Jacksonville Jaguars
12476,2019,Cincinnati Bengals,,,Arizona Cardinals
12477,2019,Dallas Cowboys,,,Green Bay Packers
12478,2019,Houston Texans,,,Atlanta Falcons
12479,2019,Kansas City Chiefs,,,Indianapolis Colts
12480,2019,Los Angeles Chargers,,,Denver Broncos
12481,2019,New Orleans Saints,,,Tampa Bay Buccaneers
12482,2019,New York Giants,,,Minnesota Vikings
12483,2019,Oakland Raiders,,,Chicago Bears
12484,2019,Philadelphia Eagles,,,New York Jets
12485,2019,Pittsburgh Steelers,,,Baltimore Ravens
12486,2019,Tennessee Titans,,,Buffalo Bills
12487,2019,Washington Redskins,,,New England Patriots
12488,2019,San Francisco 49ers,,,Cleveland Browns
12489,2019,New England Patriots,,,New York Giants
