,schedule_season,team_home,score_home,score_away,team_away
10809,2013,Denver Broncos,49.0,27.0,Baltimore Ravens
10810,2013,Buffalo Bills,21.0,23.0,New England Patriots
10811,2013,Carolina Panthers,7.0,12.0,Seattle Seahawks
10812,2013,Chicago Bears,24.0,21.0,Cincinnati Bengals
10813,2013,Cleveland Browns,10.0,23.0,Miami Dolphins
10814,2013,Dallas Cowboys,36.0,31.0,New York Giants
10815,2013,Detroit Lions,34.0,24.0,Minnesota Vikings
10816,2013,Indianapolis Colts,21.0,17.0,Oakland Raiders
10817,2013,Jacksonville Jaguars,2.0,28.0,Kansas City Chiefs
10818,2013,New Orleans Saints,23.0,17.0,Atlanta Falcons
10819,2013,New York Jets,18.0,17.0,Tampa Bay Buccaneers
10820,2013,Pittsburgh Steelers,9.0,16.0,Tennessee Titans
10821,2013,San Francisco 49ers,34.0,28.0,Green Bay Packers
10822,2013,St. Louis Rams,27.0,24.0,Arizona Cardinals
10823,2013,San Diego Chargers,28.0,31.0,Houston Texans
10824,2013,Washington Redskins,27.0,33.0,Philadelphia Eagles
10825,2013,New England Patriots,13.0,10.0,New York Jets
10826,2013,Arizona Cardinals,25.0,21.0,Detroit Lions
10827,2013,Atlanta Falcons,31.0,24.0,St. Louis Rams
10828,2013,Baltimore Ravens,14.0,6.0,Cleveland Browns
10829,2013,Buffalo Bills,24.0,23.0,Carolina Panthers
10830,2013,Chicago Bears,31.0,30.0,Minnesota Vikings
10831,2013,Green Bay Packers,38.0,20.0,Washington Redskins
10832,2013,Houston Texans,30.0,24.0,Tennessee Titans
10833,2013,Indianapolis Colts,20.0,24.0,Miami Dolphins
10834,2013,Kansas City Chiefs,17.0,16.0,Dallas Cowboys
10835,2013,New York Giants,23.0,41.0,Denver Broncos
10836,2013,Oakland Raiders,19.0,9.0,Jacksonville Jaguars
10837,2013,Philadelphia Eagles,30.0,33.0,San Diego Chargers
10838,2013,Seattle Seahawks,29.0,3.0,San Francisco 49ers
10839,2013,Tampa Bay Buccaneers,14.0,16.0,New Orleans Saints
10840,2013,Cincinnati Bengals,20.0,10.0,Pittsburgh Steelers
10841,2013,Philadelphia Eagles,16.0,26.0,Kansas City Chiefs
10842,2013,Baltimore Ravens,30.0,9.0,Houston Texans
10843,2013,Carolina Panthers,38.0,0.0,New York Giants
10844,2013,Cincinnati Bengals,34.0,30.0,Green Bay Packers
10845,2013,Dallas Cowboys,31.0,7.0,St. Louis Rams
10846,2013,Miami Dolphins,27.0,23.0,Atlanta Falcons
10847,2013,Minnesota Vikings,27.0,31.0,Cleveland Browns
10848,2013,New England Patriots,23.0,3.0,Tampa Bay Buccaneers
10849,2013,New Orleans Saints,31.0,7.0,Arizona Cardinals
10850,2013,New York Jets,27.0,20.0,Buffalo Bills
10851,2013,Pittsburgh Steelers,23.0,40.0,Chicago Bears
10852,2013,San Francisco 49ers,7.0,27.0,Indianapolis Colts
10853,2013,Seattle Seahawks,45.0,17.0,Jacksonville Jaguars
10854,2013,Tennessee Titans,20.0,17.0,San Diego Chargers
10855,2013,Washington Redskins,20.0,27.0,Detroit Lions
10856,2013,Denver Broncos,37.0,21.0,Oakland Raiders
10857,2013,St. Louis Rams,11.0,35.0,San Francisco 49ers
10858,2013,Atlanta Falcons,23.0,30.0,New England Patriots
10859,2013,Buffalo Bills,23.0,20.0,Baltimore Ravens
10860,2013,Cleveland Browns,17.0,6.0,Cincinnati Bengals
10861,2013,Denver Broncos,52.0,20.0,Philadelphia Eagles
10862,2013,Detroit Lions,40.0,32.0,Chicago Bears
10863,2013,Houston Texans,20.0,23.0,Seattle Seahawks
10864,2013,Jacksonville Jaguars,3.0,37.0,Indianapolis Colts
10865,2013,Kansas City Chiefs,31.0,7.0,New York Giants
10866,2013,Minnesota Vikings,34.0,27.0,Pittsburgh Steelers
