,schedule_season,team_home,score_home,score_away,team_away
10867,2013,Oakland Raiders,14.0,24.0,Washington Redskins
10868,2013,San Diego Chargers,30.0,21.0,Dallas Cowboys
10869,2013,Tampa Bay Buccaneers,10.0,13.0,Arizona Cardinals
10870,2013,Tennessee Titans,38.0,13.0,New York Jets
10871,2013,New Orleans Saints,38.0,17.0,Miami Dolphins
10872,2013,Cleveland Browns,37.0,24.0,Buffalo Bills
10873,2013,Arizona Cardinals,22.0,6.0,Carolina Panthers
10874,2013,Chicago Bears,18.0,26.0,New Orleans Saints
10875,2013,Cincinnati Bengals,13.0,6.0,New England Patriots
10876,2013,Dallas Cowboys,48.0,51.0,Denver Broncos
10877,2013,Green Bay Packers,22.0,9.0,Detroit Lions
10878,2013,Indianapolis Colts,34.0,28.0,Seattle Seahawks
10879,2013,Miami Dolphins,23.0,26.0,Baltimore Ravens
10880,2013,New York Giants,21.0,36.0,Philadelphia Eagles
10881,2013,Oakland Raiders,27.0,17.0,San Diego Chargers
10882,2013,San Francisco 49ers,34.0,3.0,Houston Texans
10883,2013,St. Louis Rams,34.0,20.0,Jacksonville Jaguars
10884,2013,Tennessee Titans,17.0,26.0,Kansas City Chiefs
10885,2013,Atlanta Falcons,28.0,30.0,New York Jets
10886,2013,Chicago Bears,27.0,21.0,New York Giants
10887,2013,Baltimore Ravens,17.0,19.0,Green Bay Packers
10888,2013,Buffalo Bills,24.0,27.0,Cincinnati Bengals
10889,2013,Cleveland Browns,17.0,31.0,Detroit Lions
10890,2013,Dallas Cowboys,31.0,16.0,Washington Redskins
10891,2013,Denver Broncos,35.0,19.0,Jacksonville Jaguars
10892,2013,Houston Texans,13.0,38.0,St. Louis Rams
10893,2013,Kansas City Chiefs,24.0,7.0,Oakland Raiders
10894,2013,Minnesota Vikings,10.0,35.0,Carolina Panthers
10895,2013,New England Patriots,30.0,27.0,New Orleans Saints
10896,2013,New York Jets,6.0,19.0,Pittsburgh Steelers
10897,2013,San Francisco 49ers,32.0,20.0,Arizona Cardinals
10898,2013,Seattle Seahawks,20.0,13.0,Tennessee Titans
10899,2013,Tampa Bay Buccaneers,20.0,31.0,Philadelphia Eagles
10900,2013,San Diego Chargers,19.0,9.0,Indianapolis Colts
10901,2013,Arizona Cardinals,22.0,34.0,Seattle Seahawks
10902,2013,Atlanta Falcons,31.0,23.0,Tampa Bay Buccaneers
10903,2013,Carolina Panthers,30.0,15.0,St. Louis Rams
10904,2013,Detroit Lions,24.0,27.0,Cincinnati Bengals
10905,2013,Green Bay Packers,31.0,13.0,Cleveland Browns
10906,2013,Indianapolis Colts,39.0,33.0,Denver Broncos
10907,2013,Jacksonville Jaguars,6.0,24.0,San Diego Chargers
10908,2013,Kansas City Chiefs,17.0,16.0,Houston Texans
10909,2013,Miami Dolphins,21.0,23.0,Buffalo Bills
10910,2013,New York Jets,30.0,27.0,New England Patriots
10911,2013,Philadelphia Eagles,3.0,17.0,Dallas Cowboys
10912,2013,Pittsburgh Steelers,19.0,16.0,Baltimore Ravens
10913,2013,Tennessee Titans,17.0,31.0,San Francisco 49ers
10914,2013,Washington Redskins,45.0,41.0,Chicago Bears
10915,2013,New York Giants,23.0,7.0,Minnesota Vikings
10916,2013,Tampa Bay Buccaneers,13.0,31.0,Carolina Panthers
10917,2013,Arizona Cardinals,27.0,13.0,Atlanta Falcons
10918,2013,Cincinnati Bengals,49.0,9.0,New York Jets
10919,2013,Denver Broncos,45.0,21.0,Washington Redskins
10920,2013,Detroit Lions,31.0,30.0,Dallas Cowboys
10921,2013,Jacksonville Jaguars,10.0,42.0,San Francisco 49ers
10922,2013,Kansas City Chiefs,23.0,17.0,Cleveland Browns
10923,2013,Minnesota Vikings,31.0,44.0,Green Bay Packers
10924,2013,New England Patriots,27.0,17.0,Miami Dolphins
10925,2013,New Orleans Saints,35.0,17.0,Buffalo Bills
10926,2013,Oakland Raiders,21.0,18.0,Pittsburgh Steelers
10927,2013,Philadelphia Eagles,7.0,15.0,New York Giants
10928,2013,St. Louis Rams,9.0,14.0,Seattle Seahawks
10929,2013,Miami Dolphins,22.0,20.0,Cincinnati Bengals
10930,2013,Buffalo Bills,13.0,23.0,Kansas City Chiefs
10931,2013,Carolina Panthers,34.0,10.0,Atlanta Falcons
10932,2013,Cleveland Browns,24.0,18.0,Baltimore Ravens
10933,2013,Dallas Cowboys,27.0,23.0,Minnesota Vikings
10934,2013,Houston Texans,24.0,27.0,Indianapolis Colts
10935,2013,New England Patriots,55.0,31.0,Pittsburgh Steelers
10936,2013,New York Jets,26.0,20.0,New Orleans Saints
10937,2013,Oakland Raiders,20.0,49.0,Philadelphia Eagles
10938,2013,Seattle Seahawks,27.0,24.0,Tampa Bay Buccaneers
10939,2013,St. Louis Rams,21.0,28.0,Tennessee Titans
10940,2013,Washington Redskins,30.0,24.0,San Diego Chargers
10941,2013,Green Bay Packers,20.0,27.0,Chicago Bears
10942,2013,Minnesota Vikings,34.0,27.0,Washington Redskins
10943,2013,Arizona Cardinals,27.0,24.0,Houston Texans
10944,2013,Atlanta Falcons,10.0,33.0,Seattle Seahawks
10945,2013,Baltimore Ravens,20.0,17.0,Cincinnati Bengals
10946,2013,Chicago Bears,19.0,21.0,Detroit Lions
10947,2013,Green Bay Packers,13.0,27.0,Philadelphia Eagles
10948,2013,Indianapolis Colts,8.0,38.0,St. Louis Rams
10949,2013,New Orleans Saints,49.0,17.0,Dallas Cowboys
10950,2013,New York Giants,24.0,20.0,Oakland Raiders
10951,2013,Pittsburgh Steelers,23.0,10.0,Buffalo Bills
10952,2013,San Diego Chargers,20.0,28.0,Denver Broncos
10953,2013,San Francisco 49ers,9.0,10.0,Carolina Panthers
10954,2013,Tennessee Titans,27.0,29.0,Jacksonville Jaguars
10955,2013,Tampa Bay Buccaneers,22.0,19.0,Miami Dolphins
10956,2013,Tennessee Titans,27.0,30.0,Indianapolis Colts
10957,2013,Buffalo Bills,37.0,14.0,New York Jets
10958,2013,Chicago Bears,23.0,20.0,Baltimore Ravens
10959,2013,Cincinnati Bengals,41.0,20.0,Cleveland Browns
10960,2013,Denver Broncos,27.0,17.0,Kansas City Chiefs
10961,2013,Houston Texans,23.0,28.0,Oakland Raiders
10962,2013,Jacksonville Jaguars,14.0,27.0,Arizona Cardinals
10963,2013,Miami Dolphins,20.0,16.0,San Diego Chargers
10964,2013,New Orleans Saints,23.0,20.0,San Francisco 49ers
10965,2013,New York Giants,27.0,13.0,Green Bay Packers
10966,2013,Philadelphia Eagles,24.0,16.0,Washington Redskins
10967,2013,Pittsburgh Steelers,37.0,27.0,Detroit Lions
10968,2013,Seattle Seahawks,41.0,20.0,Minnesota Vikings
10969,2013,Tampa Bay Buccaneers,41.0,28.0,Atlanta Falcons
10970,2013,Carolina Panthers,24.0,20.0,New England Patriots
10971,2013,Atlanta Falcons,13.0,17.0,New Orleans Saints
10972,2013,Arizona Cardinals,40.0,11.0,Indianapolis Colts
10973,2013,Baltimore Ravens,19.0,3.0,New York Jets
10974,2013,Cleveland Browns,11.0,27.0,Pittsburgh Steelers
10975,2013,Detroit Lions,21.0,24.0,Tampa Bay Buccaneers
10976,2013,Green Bay Packers,26.0,26.0,Minnesota Vikings
10977,2013,Houston Texans,6.0,13.0,Jacksonville Jaguars
10978,2013,Kansas City Chiefs,38.0,41.0,San Diego Chargers
10979,2013,Miami Dolphins,16.0,20.0,Carolina Panthers
10980,2013,New England Patriots,34.0,31.0,Denver Broncos
10981,2013,New York Giants,21.0,24.0,Dallas Cowboys
10982,2013,Oakland Raiders,19.0,23.0,Tennessee Titans
10983,2013,St. Louis Rams,42.0,21.0,Chicago Bears
10984,2013,Washington Redskins,6.0,27.0,San Francisco 49ers
10985,2013,Baltimore Ravens,22.0,20.0,Pittsburgh Steelers
10986,2013,Dallas Cowboys,31.0,24.0,Oakland Raiders
10987,2013,Detroit Lions,40.0,10.0,Green Bay Packers
10988,2013,Buffalo Bills,31.0,34.0,Atlanta Falcons
10989,2013,Carolina Panthers,27.0,6.0,Tampa Bay Buccaneers
10990,2013,Cleveland Browns,28.0,32.0,Jacksonville Jaguars
10991,2013,Houston Texans,31.0,34.0,New England Patriots
10992,2013,Indianapolis Colts,22.0,14.0,Tennessee Titans
10993,2013,Kansas City Chiefs,28.0,35.0,Denver Broncos
10994,2013,Minnesota Vikings,23.0,20.0,Chicago Bears
10995,2013,New York Jets,3.0,23.0,Miami Dolphins
10996,2013,Philadelphia Eagles,24.0,21.0,Arizona Cardinals
10997,2013,San Diego Chargers,10.0,17.0,Cincinnati Bengals
10998,2013,San Francisco 49ers,23.0,13.0,St. Louis Rams
10999,2013,Washington Redskins,17.0,24.0,New York Giants
11000,2013,Seattle Seahawks,34.0,7.0,New Orleans Saints
11001,2013,Jacksonville Jaguars,27.0,20.0,Houston Texans
11002,2013,Arizona Cardinals,30.0,10.0,St. Louis Rams
11003,2013,Baltimore Ravens,29.0,26.0,Minnesota Vikings
11004,2013,Cincinnati Bengals,42.0,28.0,Indianapolis Colts
11005,2013,Denver Broncos,51.0,28.0,Tennessee Titans
11006,2013,Green Bay Packers,22.0,21.0,Atlanta Falcons
11007,2013,New England Patriots,27.0,26.0,Cleveland Browns
11008,2013,New Orleans Saints,31.0,13.0,Carolina Panthers
11009,2013,New York Jets,37.0,27.0,Oakland Raiders
11010,2013,Philadelphia Eagles,34.0,20.0,Detroit Lions
11011,2013,Pittsburgh Steelers,28.0,34.0,Miami Dolphins
11012,2013,San Diego Chargers,37.0,14.0,New York Giants
11013,2013,San Francisco 49ers,19.0,17.0,Seattle Seahawks
11014,2013,Tampa Bay Buccaneers,27.0,6.0,Buffalo Bills
11015,2013,Washington Redskins,10.0,45.0,Kansas City Chiefs
11016,2013,Chicago Bears,45.0,28.0,Dallas Cowboys
11017,2013,Denver Broncos,20.0,27.0,San Diego Chargers
11018,2013,Atlanta Falcons,27.0,26.0,Washington Redskins
11019,2013,Carolina Panthers,30.0,20.0,New York Jets
11020,2013,Cleveland Browns,31.0,38.0,Chicago Bears
11021,2013,Dallas Cowboys,36.0,37.0,Green Bay Packers
11022,2013,Indianapolis Colts,25.0,3.0,Houston Texans
11023,2013,Jacksonville Jaguars,20.0,27.0,Buffalo Bills
11024,2013,Miami Dolphins,24.0,20.0,New England Patriots
11025,2013,Minnesota Vikings,48.0,30.0,Philadelphia Eagles
11026,2013,New York Giants,0.0,23.0,Seattle Seahawks
11027,2013,Oakland Raiders,31.0,56.0,Kansas City Chiefs
11028,2013,Pittsburgh Steelers,30.0,20.0,Cincinnati Bengals
11029,2013,St. Louis Rams,27.0,16.0,New Orleans Saints
11030,2013,Tampa Bay Buccaneers,14.0,33.0,San Francisco 49ers
11031,2013,Tennessee Titans,34.0,37.0,Arizona Cardinals
11032,2013,Detroit Lions,16.0,18.0,Baltimore Ravens
11033,2013,Baltimore Ravens,7.0,41.0,New England Patriots
11034,2013,Buffalo Bills,19.0,0.0,Miami Dolphins
11035,2013,Carolina Panthers,17.0,13.0,New Orleans Saints
11036,2013,Cincinnati Bengals,42.0,14.0,Minnesota Vikings
11037,2013,Detroit Lions,20.0,23.0,New York Giants
11038,2013,Green Bay Packers,31.0,38.0,Pittsburgh Steelers
11039,2013,Houston Texans,13.0,37.0,Denver Broncos
11040,2013,Jacksonville Jaguars,16.0,20.0,Tennessee Titans
11041,2013,Kansas City Chiefs,7.0,23.0,Indianapolis Colts
11042,2013,New York Jets,24.0,13.0,Cleveland Browns
11043,2013,Philadelphia Eagles,54.0,11.0,Chicago Bears
11044,2013,San Diego Chargers,26.0,13.0,Oakland Raiders
11045,2013,Seattle Seahawks,10.0,17.0,Arizona Cardinals
11046,2013,St. Louis Rams,23.0,13.0,Tampa Bay Buccaneers
11047,2013,Washington Redskins,23.0,24.0,Dallas Cowboys
11048,2013,San Francisco 49ers,34.0,24.0,Atlanta Falcons
11049,2013,Arizona Cardinals,20.0,23.0,San Francisco 49ers
11050,2013,Atlanta Falcons,20.0,21.0,Carolina Panthers
11051,2013,Chicago Bears,28.0,33.0,Green Bay Packers
11052,2013,Cincinnati Bengals,34.0,17.0,Baltimore Ravens
11053,2013,Dallas Cowboys,22.0,24.0,Philadelphia Eagles
11054,2013,Indianapolis Colts,30.0,10.0,Jacksonville Jaguars
11055,2013,Miami Dolphins,7.0,20.0,New York Jets
11056,2013,Minnesota Vikings,14.0,13.0,Detroit Lions
11057,2013,New England Patriots,34.0,20.0,Buffalo Bills
11058,2013,New Orleans Saints,42.0,17.0,Tampa Bay Buccaneers
11059,2013,New York Giants,20.0,6.0,Washington Redskins
11060,2013,Oakland Raiders,14.0,34.0,Denver Broncos
11061,2013,Pittsburgh Steelers,20.0,7.0,Cleveland Browns
11062,2013,San Diego Chargers,27.0,24.0,Kansas City Chiefs
11063,2013,Seattle Seahawks,27.0,9.0,St. Louis Rams
11064,2013,Tennessee Titans,16.0,10.0,Houston Texans
11065,2013,Indianapolis Colts,45.0,44.0,Kansas City Chiefs
11066,2013,Philadelphia Eagles,24.0,26.0,New Orleans Saints
11067,2013,Cincinnati Bengals,10.0,27.0,San Diego Chargers
11068,2013,Green Bay Packers,20.0,23.0,San Francisco 49ers
11069,2013,New England Patriots,43.0,22.0,Indianapolis Colts
11070,2013,Seattle Seahawks,23.0,15.0,New Orleans Saints
11071,2013,Carolina Panthers,10.0,23.0,San Francisco 49ers
11072,2013,Denver Broncos,24.0,17.0,San Diego Chargers
11073,2013,Denver Broncos,26.0,16.0,New England Patriots
11074,2013,Seattle Seahawks,23.0,17.0,San Francisco 49ers
11075,2013,Denver Broncos,8.0,43.0,Seattle Seahawks
