,schedule_season,team_home,score_home,score_away,team_away
10542,2012,New York Giants,17.0,24.0,Dallas Cowboys
10543,2012,Arizona Cardinals,20.0,16.0,Seattle Seahawks
10544,2012,Chicago Bears,41.0,21.0,Indianapolis Colts
10545,2012,Cleveland Browns,16.0,17.0,Philadelphia Eagles
10546,2012,Denver Broncos,31.0,19.0,Pittsburgh Steelers
10547,2012,Detroit Lions,27.0,23.0,St. Louis Rams
10548,2012,Green Bay Packers,22.0,30.0,San Francisco 49ers
10549,2012,Houston Texans,30.0,10.0,Miami Dolphins
10550,2012,Kansas City Chiefs,24.0,40.0,Atlanta Falcons
10551,2012,Minnesota Vikings,26.0,23.0,Jacksonville Jaguars
10552,2012,New Orleans Saints,32.0,40.0,Washington Redskins
10553,2012,New York Jets,48.0,28.0,Buffalo Bills
10554,2012,Tampa Bay Buccaneers,16.0,10.0,Carolina Panthers
10555,2012,Tennessee Titans,13.0,34.0,New England Patriots
10556,2012,Baltimore Ravens,44.0,13.0,Cincinnati Bengals
10557,2012,Oakland Raiders,14.0,22.0,San Diego Chargers
10558,2012,Green Bay Packers,23.0,10.0,Chicago Bears
10559,2012,Buffalo Bills,35.0,17.0,Kansas City Chiefs
10560,2012,Carolina Panthers,35.0,27.0,New Orleans Saints
10561,2012,Cincinnati Bengals,34.0,27.0,Cleveland Browns
10562,2012,Indianapolis Colts,23.0,20.0,Minnesota Vikings
10563,2012,Jacksonville Jaguars,7.0,27.0,Houston Texans
10564,2012,Miami Dolphins,35.0,13.0,Oakland Raiders
10565,2012,New England Patriots,18.0,20.0,Arizona Cardinals
10566,2012,New York Giants,41.0,34.0,Tampa Bay Buccaneers
10567,2012,Philadelphia Eagles,24.0,23.0,Baltimore Ravens
10568,2012,Pittsburgh Steelers,27.0,10.0,New York Jets
10569,2012,San Diego Chargers,38.0,10.0,Tennessee Titans
10570,2012,San Francisco 49ers,27.0,19.0,Detroit Lions
10571,2012,Seattle Seahawks,27.0,7.0,Dallas Cowboys
10572,2012,St. Louis Rams,31.0,28.0,Washington Redskins
10573,2012,Atlanta Falcons,27.0,21.0,Denver Broncos
10574,2012,Carolina Panthers,7.0,36.0,New York Giants
10575,2012,Arizona Cardinals,27.0,6.0,Philadelphia Eagles
10576,2012,Baltimore Ravens,31.0,30.0,New England Patriots
10577,2012,Chicago Bears,23.0,6.0,St. Louis Rams
10578,2012,Cleveland Browns,14.0,24.0,Buffalo Bills
10579,2012,Dallas Cowboys,16.0,10.0,Tampa Bay Buccaneers
10580,2012,Denver Broncos,25.0,31.0,Houston Texans
10581,2012,Indianapolis Colts,17.0,22.0,Jacksonville Jaguars
10582,2012,Miami Dolphins,20.0,23.0,New York Jets
10583,2012,Minnesota Vikings,24.0,13.0,San Francisco 49ers
