,schedule_season,team_home,score_home,score_away,team_away
7872,2002,New York Giants,13.0,16.0,San Francisco 49ers
7873,2002,Buffalo Bills,31.0,37.0,New York Jets
7874,2002,Carolina Panthers,10.0,7.0,Baltimore Ravens
7875,2002,Chicago Bears,27.0,23.0,Minnesota Vikings
7876,2002,Cincinnati Bengals,6.0,34.0,San Diego Chargers
7877,2002,Cleveland Browns,39.0,40.0,Kansas City Chiefs
7878,2002,Denver Broncos,23.0,16.0,St. Louis Rams
7879,2002,Green Bay Packers,37.0,34.0,Atlanta Falcons
7880,2002,Houston Texans,19.0,10.0,Dallas Cowboys
7881,2002,Jacksonville Jaguars,25.0,28.0,Indianapolis Colts
7882,2002,Miami Dolphins,49.0,21.0,Detroit Lions
7883,2002,Oakland Raiders,31.0,17.0,Seattle Seahawks
7884,2002,Tampa Bay Buccaneers,20.0,26.0,New Orleans Saints
7885,2002,Tennessee Titans,27.0,24.0,Philadelphia Eagles
7886,2002,Washington Redskins,31.0,23.0,Arizona Cardinals
7887,2002,New England Patriots,30.0,14.0,Pittsburgh Steelers
7888,2002,Atlanta Falcons,13.0,14.0,Chicago Bears
7889,2002,Baltimore Ravens,0.0,25.0,Tampa Bay Buccaneers
7890,2002,Carolina Panthers,31.0,7.0,Detroit Lions
7891,2002,Cleveland Browns,20.0,7.0,Cincinnati Bengals
7892,2002,Dallas Cowboys,21.0,13.0,Tennessee Titans
7893,2002,Indianapolis Colts,13.0,21.0,Miami Dolphins
7894,2002,Kansas City Chiefs,16.0,23.0,Jacksonville Jaguars
7895,2002,Minnesota Vikings,39.0,45.0,Buffalo Bills
7896,2002,New Orleans Saints,35.0,20.0,Green Bay Packers
7897,2002,New York Jets,7.0,44.0,New England Patriots
7898,2002,Pittsburgh Steelers,17.0,30.0,Oakland Raiders
7899,2002,San Diego Chargers,24.0,3.0,Houston Texans
7900,2002,San Francisco 49ers,14.0,24.0,Denver Broncos
7901,2002,Seattle Seahawks,13.0,24.0,Arizona Cardinals
7902,2002,St. Louis Rams,21.0,26.0,New York Giants
7903,2002,Washington Redskins,7.0,37.0,Philadelphia Eagles
7904,2002,Arizona Cardinals,15.0,23.0,San Diego Chargers
7905,2002,Atlanta Falcons,30.0,3.0,Cincinnati Bengals
7906,2002,Chicago Bears,23.0,29.0,New Orleans Saints
7907,2002,Denver Broncos,28.0,23.0,Buffalo Bills
7908,2002,Detroit Lions,31.0,37.0,Green Bay Packers
7909,2002,Houston Texans,3.0,23.0,Indianapolis Colts
7910,2002,Miami Dolphins,30.0,3.0,New York Jets
7911,2002,Minnesota Vikings,14.0,21.0,Carolina Panthers
7912,2002,New England Patriots,41.0,38.0,Kansas City Chiefs
