,schedule_season,team_home,score_home,score_away,team_away
9741,2009,Pittsburgh Steelers,13.0,10.0,Tennessee Titans
9742,2009,Arizona Cardinals,16.0,20.0,San Francisco 49ers
9743,2009,Atlanta Falcons,19.0,7.0,Miami Dolphins
9744,2009,Baltimore Ravens,38.0,24.0,Kansas City Chiefs
9745,2009,Carolina Panthers,10.0,38.0,Philadelphia Eagles
9746,2009,Cincinnati Bengals,7.0,12.0,Denver Broncos
9747,2009,Cleveland Browns,20.0,34.0,Minnesota Vikings
9748,2009,Green Bay Packers,21.0,15.0,Chicago Bears
9749,2009,Houston Texans,7.0,24.0,New York Jets
9750,2009,Indianapolis Colts,14.0,12.0,Jacksonville Jaguars
9751,2009,New Orleans Saints,45.0,27.0,Detroit Lions
9752,2009,New York Giants,23.0,17.0,Washington Redskins
9753,2009,Seattle Seahawks,28.0,0.0,St. Louis Rams
9754,2009,Tampa Bay Buccaneers,21.0,34.0,Dallas Cowboys
9755,2009,New England Patriots,25.0,24.0,Buffalo Bills
9756,2009,Oakland Raiders,20.0,24.0,San Diego Chargers
9757,2009,Atlanta Falcons,28.0,20.0,Carolina Panthers
9758,2009,Buffalo Bills,33.0,20.0,Tampa Bay Buccaneers
9759,2009,Chicago Bears,17.0,14.0,Pittsburgh Steelers
9760,2009,Dallas Cowboys,31.0,33.0,New York Giants
9761,2009,Denver Broncos,27.0,6.0,Cleveland Browns
9762,2009,Detroit Lions,13.0,27.0,Minnesota Vikings
9763,2009,Green Bay Packers,24.0,31.0,Cincinnati Bengals
9764,2009,Jacksonville Jaguars,17.0,31.0,Arizona Cardinals
9765,2009,Kansas City Chiefs,10.0,13.0,Oakland Raiders
9766,2009,New York Jets,16.0,9.0,New England Patriots
9767,2009,Philadelphia Eagles,22.0,48.0,New Orleans Saints
9768,2009,San Diego Chargers,26.0,31.0,Baltimore Ravens
9769,2009,San Francisco 49ers,23.0,10.0,Seattle Seahawks
9770,2009,Tennessee Titans,31.0,34.0,Houston Texans
9771,2009,Washington Redskins,9.0,7.0,St. Louis Rams
9772,2009,Miami Dolphins,23.0,27.0,Indianapolis Colts
9773,2009,Arizona Cardinals,10.0,31.0,Indianapolis Colts
9774,2009,Baltimore Ravens,34.0,3.0,Cleveland Browns
9775,2009,Buffalo Bills,7.0,27.0,New Orleans Saints
9776,2009,Cincinnati Bengals,23.0,20.0,Pittsburgh Steelers
9777,2009,Detroit Lions,19.0,14.0,Washington Redskins
9778,2009,Houston Texans,24.0,31.0,Jacksonville Jaguars
9779,2009,Minnesota Vikings,27.0,24.0,San Francisco 49ers
9780,2009,New England Patriots,26.0,10.0,Atlanta Falcons
9781,2009,New York Jets,24.0,17.0,Tennessee Titans
9782,2009,Oakland Raiders,3.0,23.0,Denver Broncos
9783,2009,Philadelphia Eagles,34.0,14.0,Kansas City Chiefs
9784,2009,San Diego Chargers,23.0,13.0,Miami Dolphins
